id_planta,comprimento_sepala,largura_sepala,comprimento_petala,largura_petala,cidade_origem,classe
120,6.9,3.2,5.7,2.3,São Paulo,Iris-virginica
121,5.6,2.8,4.9,2.0,São Paulo,Iris-virginica
122,7.7,2.8,6.7,2.0,Campinas,Iris-virginica
122,7.7,2.8,6.7,2.0,Campinas,Iris-virginica
123,6.3,2.7,4.9,1.8,São Paulo,Iris-virginica
124,6.7,3.3,5.7,2.1,Sorocaba,Iris-virginica
125,7.2,3.2,6.0,1.8,São Paulo,Iris-virginica
126,6.2,2.8,4.8,1.8,Campinas,Iris-virginica
127,6.1,3.0,4.9,1.8,Sorocaba,Iris-virginica
128,6.4,2.8,5.6,2.1,Sorocaba,Iris-virginica
129,7.2,3.0,5.8,1.6,Sorocaba,Iris-virginica
130,7.4,2.8,6.1,1.9,Sorocaba,Iris-virginica
131,7.9,3.8,6.4,2.0,Campinas,Iris-virginica
132,6.4,2.8,5.6,2.2,Campinas,Iris-virginica
133,6.3,2.8,5.1,1.5,Sorocaba,Iris-virginica
134,6.1,2.6,5.6,1.4,Sorocaba,Iris-virginica
135,7.7,3.0,6.1,2.3,Campinas,Iris-virginica
136,6.3,3.4,5.6,2.4,Sorocaba,Iris-virginica
137,6.4,3.1,5.5,1.8,Sorocaba,Iris-virginica
138,6.0,3.0,4.8,1.8,Sorocaba,Iris-virginica
139,20.9,3.1,5.4,2.1,São Paulo,Iris-virginica
140,6.7,23.1,5.6,2.4,Sorocaba,Iris-virginica
141,6.9,3.1,5.1,2.3,Sorocaba,Iris-virginica
142,5.8,2.7,5.1,1.9,Campinas,Iris-virginica
143,6.8,3.2,5.9,2.3,São Paulo,Iris-virginica
144,6.7,3.3,5.7,2.5,Campinas,Iris-virginica
145,6.7,3.0,5.2,2.3,São Paulo,Iris-virginica
146,6.3,2.5,5.0,1.9,Campinas,Iris-virginica
147,6.5,3.0,5.2,2.0,Sorocaba,Iris-virginica
148,6.2,3.4,5.4,2.3,Sorocaba,Iris-virginica
149,5.9,3.0,5.1,1.8,Campinas,Iris-virginica
